Subject,Code,Link
Accounting,cpt,https://catalogue.uottawa.ca/en/courses/cpt/
Administration,adm,https://catalogue.uottawa.ca/en/courses/adm/
Anatomy and Neurobiology,ana,https://catalogue.uottawa.ca/en/courses/ana/
Anatomy and Physiology,anp,https://catalogue.uottawa.ca/en/courses/anp/
Anesthesiology,ane,https://catalogue.uottawa.ca/en/courses/ane/
Anthropology,ant,https://catalogue.uottawa.ca/en/courses/ant/
Arabic Language and Culture,arb,https://catalogue.uottawa.ca/en/courses/arb/
Arts Co-op,acp,https://catalogue.uottawa.ca/en/courses/acp/
"Arts, Music, Theatre",amt,https://catalogue.uottawa.ca/en/courses/amt/
Asian Studies,asi,https://catalogue.uottawa.ca/en/courses/asi/
Bilingualism Studies,bil,https://catalogue.uottawa.ca/en/courses/bil/
Biochemistry,bch,https://catalogue.uottawa.ca/en/courses/bch/
Bioinformatics,bnf,https://catalogue.uottawa.ca/en/courses/bnf/
Biology,bio,https://catalogue.uottawa.ca/en/courses/bio/
Biomedical Engineering,bmg,https://catalogue.uottawa.ca/en/courses/bmg/
Biomedical Science,bim,https://catalogue.uottawa.ca/en/courses/bim/
Biopharmaceutical Science,bps,https://catalogue.uottawa.ca/en/courses/bps/
Canadian Studies,cdn,https://catalogue.uottawa.ca/en/courses/cdn/
Cardio-Respiratory Systems,cts,https://catalogue.uottawa.ca/en/courses/cts/
Cellular and Molecular Medicine,cmm,https://catalogue.uottawa.ca/en/courses/cmm/
Celtic Studies,clt,https://catalogue.uottawa.ca/en/courses/clt/
Chemical and Environmental Toxicology,tox,https://catalogue.uottawa.ca/en/courses/tox/
Chemical Engineering,chg,https://catalogue.uottawa.ca/en/courses/chg/
Chemistry,chm,https://catalogue.uottawa.ca/en/courses/chm/
Chinese,chn,https://catalogue.uottawa.ca/en/courses/chn/
Civil Engineering,cvg,https://catalogue.uottawa.ca/en/courses/cvg/
Civil Law,drc,https://catalogue.uottawa.ca/en/courses/drc/
Classical Studies,cla,https://catalogue.uottawa.ca/en/courses/cla/
Classics,lcl,https://catalogue.uottawa.ca/en/courses/lcl/
Clinical Rotation,cli,https://catalogue.uottawa.ca/en/courses/cli/
Common Law,cml,https://catalogue.uottawa.ca/en/courses/cml/
Communication,cmn,https://catalogue.uottawa.ca/en/courses/cmn/
Complex Project Leadership,cpl,https://catalogue.uottawa.ca/en/courses/cpl/
Computer Engineering,ceg,https://catalogue.uottawa.ca/en/courses/ceg/
Computer Science,csg,https://catalogue.uottawa.ca/en/courses/csg/
Computer Science,csi,https://catalogue.uottawa.ca/en/courses/csi/
